----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  C:/Users/chadi/Dropbox/Applied-Economics/task2/Build/Output/AK91 AL99_value_review.log
  log type:  text
 opened on:  13 Sep 2024, 14:44:36
Review of String Variables
Variable: townname

         town name |      Freq.     Percent        Cum.
 1%           53             24
 5%           61             35
10%           64             35       Obs               4,003
25%           69             39       Sum of wgt.       4,003

50%           74                      Mean           73.49863
                        Largest       Std. dev.      7.223718
75%           79             89
90%           82             90       Variance       52.18209
95%           84             90       Skewness      -.7985563
99%           87             90       Kurtosis        4.46453

Variable: ngrm

                            ngrm
-------------------------------------------------------------
      Percentiles      Smallest
 1%           12              3
 5%           19              5
10%           27              5       Obs               4,003
25%           44              5       Sum of wgt.       4,003

50%           64                      Mean           67.96802
                        Largest       Std. dev.      33.37201
75%           89            203
90%          110            203       Variance       1113.691
95%          129            203       Skewness        .660174
99%          158            203       Kurtosis       3.532596

Variable: mrkmth

                           mrkmth
-------------------------------------------------------------
      Percentiles      Smallest
 1%           45             21
 5%           54             28
10%           57             32       Obs               4,003
25%           63             34       Sum of wgt.       4,003

50%           69                      Mean           68.18736
                        Largest       Std. dev.      8.445514
75%           74             89
90%           78             89       Variance       71.32671
95%           81             90       Skewness      -.5213245
99%           85             93       Kurtosis       3.644554

Variable: nmth

                            nmth
-------------------------------------------------------------
      Percentiles      Smallest
 1%           12              3
 5%           20              5
10%           27              5       Obs               4,003
25%           45              5       Sum of wgt.       4,003

50%           65                      Mean           68.95553
                        Largest       Std. dev.      33.78145
75%           91            204
90%          112            204       Variance       1141.186
95%          130            204       Skewness       .6673411
99%          160            204       Kurtosis        3.55382

Review of Float Variables
Variable: avgmath

                 mathematics score - kovec2
-------------------------------------------------------------
      Percentiles      Smallest
 1%        44.17              0
 5%        51.94          21.41
10%        55.87          27.69       Obs               4,079
25%        62.28          31.45       Sum of wgt.       4,079

50%        68.67                      Mean           68.09521
                        Largest       Std. dev.      9.448838
75%        74.57          93.73
90%     79.40897          93.93       Variance       89.28054
95%        82.06       94.09091       Skewness      -.0569986
99%        86.83        181.246       Kurtosis       8.754045

Variable: passmath

               pass mathematics test - kovec2
-------------------------------------------------------------
      Percentiles      Smallest
 1%            0              0
 5%          3.8              0
10%          7.7              0       Obs               4,069
25%         14.8              0       Sum of wgt.       4,069

50%           25                      Mean           27.66572
                        Largest       Std. dev.      17.07811
75%         37.9       94.39722
90%         51.6             95       Variance        291.662
95%           60             96       Skewness         .75281
99%           75           96.8       Kurtosis       3.370544

Variable: avgverb

                   grammar score - kovec2
-------------------------------------------------------------
      Percentiles      Smallest
 1%        52.18          24.29
 5%     59.13552           34.8
10%        62.94             35       Obs               4,079
25%        68.69          37.81       Sum of wgt.       4,079

50%       74.475                      Mean           73.45686
                        Largest       Std. dev.       8.09025
75%        79.09       93.92286
90%        82.71           94.4       Variance       65.45215
95%        84.57           94.9       Skewness       .0044926
99%        87.86        187.606       Kurtosis       13.44826

Variable: passverb

                 pass grammar test - kovec2
-------------------------------------------------------------
      Percentiles      Smallest
 1%            0              0
 5%          .65              0
10%          4.2              0       Obs               4,067
25%          9.1              0       Sum of wgt.       4,067

50%         16.7                      Mean            19.3939
                        Largest       Std. dev.      13.95807
75%         26.5             85
90%         39.1          85.71       Variance       194.8276
95%         46.4           87.5       Skewness       1.130444
99%         63.3           88.2       Kurtosis       4.583704

Variable: math_n

                           math_n
-------------------------------------------------------------
      Percentiles      Smallest
 1%         44.8          21.41
 5%        53.67          27.69
10%         57.2          32.05       Obs               3,995
25%        62.92             34       Sum of wgt.       3,995

50%     68.71375                      Mean           68.19707
                        Largest       Std. dev.      8.536735
75%     74.23154          88.72
90%     78.82395          89.16       Variance       72.87585
95%        81.21          90.03       Skewness      -.4942529
99%        85.53          93.27       Kurtosis       3.611499

Variable: flmath_n

                          flmath_n
-------------------------------------------------------------
      Percentiles      Smallest
 1%      1.17381              0
 5%          6.1              0
10%     9.607693              0       Obs               3,995
25%       15.925              0       Sum of wgt.       3,995

50%           25                      Mean           27.35684
                        Largest       Std. dev.      15.52808
75%           36           90.5
90%     49.42857           90.9       Variance       241.1213
95%     57.57273           90.9       Skewness       .8211737
99%         71.9           96.8       Kurtosis        3.69317

Variable: verb_n

                           verb_n
-------------------------------------------------------------
      Percentiles      Smallest
 1%     52.88979          24.29
 5%     60.74786           34.8
10%     63.50967             35       Obs               3,996
25%     69.24704           40.9       Sum of wgt.       3,996

50%     74.21332                      Mean           73.48093
                        Largest       Std. dev.      7.276671
75%     78.61862          90.13
90%     81.85938          90.14       Variance       52.94994
95%     83.82484       90.41534       Skewness       -.749694
99%     86.77158       90.41534       Kurtosis       4.241275

Variable: flverb_n

                          flverb_n
-------------------------------------------------------------
      Percentiles      Smallest
 1%            0              0
 5%     3.947368              0
10%     5.761539              0       Obs               3,996
25%     10.25897              0       Sum of wgt.       3,996

50%     16.96129                      Mean           19.30094
                        Largest       Std. dev.      12.55271
75%     25.04062           83.3
90%     36.19787             84       Variance       157.5705
95%         44.4           87.5       Skewness       1.214228
99%         58.3           88.2       Kurtosis       5.120208

Variable: flmth

                            flmth
-------------------------------------------------------------
      Percentiles      Smallest
 1%         2.53              0
 5%          6.8              0
10%         9.52              0       Obs               4,003
25%        15.94              0       Sum of wgt.       4,003

50%        25.33                      Mean           27.40754
                        Largest       Std. dev.      15.33651
75%        36.11          90.91
90%        48.84          90.91       Variance       235.2085
95%        56.36             95       Skewness         .82881
99%        71.88          96.77       Kurtosis       3.742335

      name:  <unnamed>
       log:  C:/Users/chadi/Dropbox/Applied-Economics/task2/Build/Output/AK91 AL99_value_review.log
  log type:  text
 closed on:  13 Sep 2024, 14:44:36
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
